symptoms,disease
red cheeks with occasional burning,Rosacea
acne bumps around my jaw,Acne
crusting sores near the nose and lips,Impetigo
golden crust around small skin wounds,Impetigo
skin redness after touching cleaning chemicals,Contact Dermatitis
small sores with yellow honey colored crusts,Impetigo
silver colored scales over red skin,Psoriasis
follicle bumps after close shaving,Folliculitis
small tender pimples around body hair,Folliculitis
tiny raised spots between my fingers,Scabies
scaly red patches on the body,Psoriasis
persistent red nose and cheek area,Rosacea
itchy circular rash with raised border,Ringworm
burning sensation with redness on my cheeks,Rosacea
raised red areas covered in dry scales,Psoriasis
red facial sores that ooze and crust,Impetigo
skin develops temporary raised bumps,Urticaria
rough red rash with severe itching,Eczema
facial redness worsens in hot weather,Rosacea
itching around the finger webs and wrists,Scabies
forehead covered with tiny bumps,Acne
persistent nighttime itching on hands,Scabies
small itchy spots around body hair,Folliculitis
crusted rash around the mouth,Impetigo
itchy red plaques on arms,Psoriasis
tiny itchy spots around the waist,Scabies
red raised patches with silvery flakes,Psoriasis
skin irritation where adhesive touched me,Contact Dermatitis
itchy redness after a new skin product,Contact Dermatitis
red patches with dryness and cracking,Eczema
irritated skin under a new necklace,Contact Dermatitis
clearly defined white areas on my skin,Vitiligo
intense itching that becomes worse at night,Scabies
ring shaped dry patch on the skin,Ringworm
greasy scaling near my nose,Seborrheic Dermatitis
red patches after wearing a new fabric,Contact Dermatitis
red itchy dry patches on my arms,Eczema
loss of pigment around my lips,Vitiligo
itchy plaques on knees and lower legs,Psoriasis
white patches appearing on my neck,Vitiligo
facial pimples with blackheads,Acne
repeated red plaques with dry scales,Psoriasis
infected looking rash with honey colored crust,Impetigo
red thickened skin with flaky scales,Psoriasis
night itching around hands and wrists,Scabies
many clogged pores and facial pimples,Acne
small pus filled pimples on cheeks,Acne
small infected looking sores with honey colored crust,Impetigo
inflamed hair follicles with tiny pustules,Folliculitis
swollen itchy bumps that fade quickly,Urticaria
small skin lesions with sticky yellow crust,Impetigo
severe itching at night with tiny bumps,Scabies
persistent dry itchy skin on my body,Eczema
yellow crusted lesions on my face,Impetigo
recurrent plaques on elbows and knees,Psoriasis
face turns red easily and stays flushed,Rosacea
oily skin and recurring whiteheads,Acne
sudden red welts with severe itching,Urticaria
red sores around the nose with crusting,Impetigo
blisters on skin that leave a golden crust,Impetigo
inflamed dry skin with repeated itching,Eczema
red sores that are wet and crusty,Impetigo
itchy flakes around my ears and scalp,Seborrheic Dermatitis
scalp redness with heavy flaking,Seborrheic Dermatitis
persistent itching worse during sleep,Scabies
ring like red rash on my arm,Ringworm
burning itchy skin after contact with detergent,Contact Dermatitis
yellowish flakes around my scalp and eyebrows,Seborrheic Dermatitis
itchy rash around wrists and finger spaces,Scabies
yellow greasy flakes on the scalp,Seborrheic Dermatitis
irritation after wearing artificial jewelry,Contact Dermatitis
painful red bumps appearing on my face,Acne
red swollen patches with intense itching,Urticaria
persistent redness with visible tiny blood vessels,Rosacea
itchy round lesion with a clear middle,Ringworm
patches of depigmented skin on my arms,Vitiligo
itchy oily skin behind my ears,Seborrheic Dermatitis
ring shaped rash on my arm that is itchy,Ringworm
pimples appearing after oily skin,Acne
red bumps after sweating and friction,Folliculitis
ring shaped patch appearing on my arm,Ringworm
circular scaly patch on my shoulder,Ringworm
red flaky rash with itching,Eczema
black spots and white bumps on the face,Acne
repeated facial breakouts with oily skin,Acne
pale skin patches without scales,Vitiligo
dry sensitive skin with recurring rash,Eczema
oily scalp with persistent dandruff,Seborrheic Dermatitis
itchy thick skin with white scales,Psoriasis
red raised patches on knees,Psoriasis
round rash with a flaky outer edge,Ringworm
sudden raised itchy welts on my skin,Urticaria
itchy bumps that disappear and reappear,Urticaria
red inflamed spots on my face,Acne
persistent scaly patches on elbows,Psoriasis
